date,start,high,low,volume,close
1997-04-08,57184,57806,56739,238730,57095
1997-04-09,57095,57540,56917,173280,57362
1997-04-10,57362,57362,55138,86120,55939
1997-04-11,55939,56472,55227,103290,55939
1997-04-12,56117,56917,55672,58130,55672
1997-04-14,55672,56828,55672,107090,56383
1997-04-15,56650,56917,55583,100500,55583
1997-04-16,54783,55138,54249,127780,55049
1997-04-17,54694,54961,53627,122360,54249
1997-04-18,54516,54872,52915,98810,53538
1997-04-19,53804,55494,53804,48690,55494
1997-04-21,55583,55939,54694,76890,54694
1997-04-22,54694,54872,53360,70210,53360
1997-04-23,53360,53715,52648,84551,53004
1997-04-24,53360,53804,52559,82990,53004
1997-04-25,52915,52915,51848,77790,52026
1997-04-26,52115,54249,52026,81190,54249
1997-04-28,55138,55138,54249,95340,54694
1997-04-29,54694,54694,53715,131070,54338
1997-04-30,54160,54338,53360,131410,53893
1997-05-02,57184,57184,52470,2957110,54516
1997-05-03,54516,54694,53893,67197,54338
1997-05-06,54338,54694,54071,93290,54605
1997-05-07,54249,54427,53893,67110,54249
1997-05-08,54160,54160,52737,72610,52737
1997-05-09,52915,53360,52470,80550,53271
1997-05-10,53360,54160,53182,45330,53271
1997-05-12,53893,54783,53449,106040,54249
1997-05-13,54338,54961,53538,75720,54961
1997-05-15,55138,57095,55049,188280,56561
1997-05-16,56472,56917,55850,168390,56028
1997-05-17,56117,56472,55138,56860,55850
1997-05-19,56117,56472,54961,126430,56295
1997-05-20,56917,57806,56295,265880,57806
1997-05-21,57806,57806,56206,121030,56472
1997-05-22,56919,56919,54507,76410,55847
1997-05-23,55847,55847,54953,67860,55311
1997-05-24,55400,55847,54685,32220,55043
1997-05-26,55311,55400,54596,34050,54596
1997-05-27,54596,55043,54417,57390,54953
1997-05-28,55400,57634,55400,172070,57634
1997-05-29,58081,61566,57634,411040,60136
1997-05-30,59868,61208,59868,197980,59868
1997-05-31,59868,59868,59064,93990,59868
1997-06-02,60761,61119,58974,74990,59510
1997-06-03,59510,59779,58706,71360,58796
1997-06-04,58081,59868,58081,85220,59868
1997-06-05,59689,60315,59064,81890,59421
1997-06-07,59868,60761,59510,32550,59868
1997-06-09,59868,59957,59421,39480,59868
1997-06-10,59868,60493,59064,55540,59064
1997-06-11,59064,59332,58259,71910,58617
1997-06-12,58259,59421,57991,102960,58081
1997-06-13,58974,62102,58974,129170,61566
1997-06-14,62012,62459,60761,70150,62459
1997-06-16,62459,62995,61387,70480,61655
1997-06-17,61655,66480,60761,357930,65229
1997-06-18,66123,67016,63978,238420,64782
1997-06-19,65229,65229,63174,145140,63442
1997-06-20,64336,64336,62102,150060,62549
1997-06-21,62549,62817,60851,86490,61119
1997-06-23,61029,61655,60493,140090,61208
1997-06-24,61655,62370,60761,136590,62012
1997-06-25,62102,62459,61208,572440,62102
1997-06-26,61298,63353,61208,149640,62549
1997-06-27,62817,63263,57634,99340,61208
1997-06-28,61387,62549,61208,36660,62549
1997-06-30,62995,64514,62727,100240,62995
1997-07-01,62995,64336,62995,167900,63442
1997-07-02,63889,65676,63889,169940,64782
1997-07-03,64782,65229,64157,108460,64514
1997-07-04,64782,65229,64336,101780,64782
1997-07-05,64336,65050,64336,56160,64336
1997-07-07,64336,64336,62995,93900,62995
1997-07-08,62995,62995,60851,107090,61655
1997-07-09,61923,62370,60851,53680,62012
1997-07-10,62102,62191,61029,115250,61655
1997-07-11,61387,61655,60493,37380,60761
1997-07-12,60315,60761,60136,41660,60404
1997-07-14,60047,60851,59510,131010,60404
1997-07-15,59868,60404,59421,72450,59600
1997-07-16,58974,60136,58974,68180,59332
1997-07-18,59868,61119,59332,51680,60851
1997-07-19,60761,61208,59868,17360,61208
1997-07-21,61119,62549,60583,37770,61476
1997-07-22,61208,62102,60583,64750,61655
1997-07-23,61655,62549,61208,56070,61208
1997-07-24,60761,61655,60761,53570,61655
1997-07-25,61655,62280,60315,31140,60315
1997-07-26,60315,60761,60315,18240,60315
1997-07-28,60315,60761,59957,36120,60136
1997-07-29,59868,60136,59510,53700,59689
1997-07-30,59689,59868,58081,60170,58528
1997-07-31,58081,58259,57455,111910,57991
1997-08-01,58259,58974,58081,84831,58528
1997-08-02,58974,58974,58081,746390,58528
1997-08-04,58528,59242,58528,67330,58974
1997-08-05,59421,61655,59153,163670,61655
1997-08-06,61655,62459,61208,218720,61923
1997-08-07,61655,62459,61476,100250,62102
1997-08-08,62102,62280,61655,81190,62102
1997-08-09,62102,64336,62012,136110,64336
1997-08-11,64336,64782,63889,146290,64246
1997-08-12,64336,65319,64068,239960,64782
1997-08-13,64961,67463,64961,262260,66748
1997-08-14,66123,66569,64782,180450,65676
1997-08-16,64782,64782,63442,61350,63978
1997-08-18,63978,64782,63442,47650,63531
1997-08-19,63799,63799,62549,79570,63442
1997-08-20,63442,66480,62995,218130,65050
1997-08-21,64693,65676,64336,100340,64336
1997-08-22,64336,65050,63621,100373,64782
1997-08-23,65676,65676,64872,72280,65319
1997-08-25,65497,65676,64336,72320,65050
1997-08-26,64514,64961,64246,71720,64782
1997-08-27,64336,64782,64157,123250,64157
1997-08-28,64157,64246,63442,191133,63710
1997-08-29,63263,64782,62817,149530,63263
1997-08-30,62995,62995,61834,128610,62995
1997-09-01,62906,63442,61834,76170,62549
1997-09-02,61923,63442,61387,97370,63442
1997-09-03,63442,63442,61834,108600,61834
1997-09-04,62370,62370,60851,88900,61029
1997-09-05,61029,62549,60851,38970,62191
1997-09-06,62191,62549,61923,19990,62191
1997-09-08,62549,62549,61298,63210,61744
1997-09-09,61298,61655,60672,85630,60940
1997-09-10,60940,61566,60851,48260,61119
1997-09-11,61208,63353,60940,36810,63353
1997-09-12,62549,64782,62370,57590,63442
1997-09-13,63710,63889,62638,28990,63442
1997-09-18,63442,64157,62995,77880,63710
1997-09-19,63799,63799,62102,66390,62549
1997-09-20,62459,62459,60761,45700,61655
1997-09-22,61387,62102,60493,59140,60583
1997-09-23,60493,60761,59600,66140,59600
1997-09-24,59332,60672,58259,93880,59689
1997-09-25,59689,59689,58528,70400,58974
1997-09-26,58528,58974,58081,70500,58706
1997-09-27,58528,58528,57634,84610,57902
1997-09-29,57187,58617,57187,48510,58081
1997-09-30,58081,59779,58081,63170,59421
1997-10-01,59332,59421,58617,44120,58617
1997-10-02,58528,59421,58081,47950,58438
1997-10-04,58438,59868,57991,29560,59868
1997-10-06,59868,60761,58974,53720,59242
1997-10-07,59153,59153,57277,68530,57455
1997-10-08,57455,57455,53792,60280,53792
1997-10-09,53345,54864,50932,96343,52541
1997-10-10,52809,53434,51915,47010,53345
1997-10-11,53524,54060,53434,19180,53881
1997-10-13,53613,54417,53166,47260,53166
1997-10-14,54953,56204,53434,65090,54596
1997-10-15,55311,55311,53792,97658,54060
